trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.2, 'e': 0.5975005946182375}",20,0,-0.015915245854352222,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
104,False,"{'a': 0.2, 'e': 0.5945205479701944}",25,0,29.07979711139876,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.2, 'e': 0.5915553643668151}",25,0,34.58972065959954,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.2, 'e': 0.5886049696783552}",20,0,-68.4073515898402,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
107,False,"{'a': 0.2, 'e': 0.5856692901447937}",25,0,29.943946373156997,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.2, 'e': 0.5827482523739896}",25,0,27.18966583211446,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.2, 'e': 0.5798417833398464}",20,0,19.23819938144591,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.2, 'e': 0.5769498103804866}",20,0,16.959882907607025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.2, 'e': 0.574072261196436}",25,1,26.598552500369873,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.5712090638488149}",20,0,17.68883321526209,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.2, 'e': 0.5683601467575404}",25,0,23.1599499936992,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.2, 'e': 0.5655254386995371}",25,1,31.65721934575384,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.5627048688069557}",20,3,21.597796337811047,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.559898366565402}",35,0,1.0484922433642732,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
117,False,"{'a': 0.2, 'e': 0.5571058618121739}",25,0,-18.323710937418046,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
118,False,"{'a': 0.2, 'e': 0.5543272847345071}",20,0,-34.10715840684946,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.2, 'e': 0.5515625658678298}",25,0,24.668359619629804,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.2, 'e': 0.5488116360940264}",20,0,-2.7711481975402847,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
121,False,"{'a': 0.2, 'e': 0.5460744266397094}",20,0,17.021654833801225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.2, 'e': 0.5433508690744998}",35,27,-25.484428158371816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.2, 'e': 0.5406408953093166}",20,0,14.557073817733325,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.2, 'e': 0.5379444375946745}",20,0,4.905514052698175,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
125,False,"{'a': 0.2, 'e': 0.5352614285189903}",30,0,31.44572402840053,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.2, 'e': 0.5325918010068972}",20,0,25.384158005546187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.2, 'e': 0.5299354883175685}",20,0,8.855993001064036,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.2, 'e': 0.5272924240430485}",25,0,24.73674578462216,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
